model,architecture_paradigm,experiment_id,backbone,image_size,batch_size,optimizer,learning_rate,max_epochs,actual_epochs,best_epoch,best_val_accuracy,test_accuracy,macro_precision,macro_recall,macro_f1,roc_auc_macro,training_time_seconds,inference_ms_per_image,inference_throughput_ips,total_parameters,trainable_parameters,non_trainable_parameters,model_size_mb,seed,gpu,test_samples
Custom CNN (Scratch),From Scratch,CNN_A,Custom 4-Block Conv2D,224x224x3,16,Adam,0.001,20,20,16,0.966,0.9535,0.9525,0.9523,0.9523,0.9932,331.96,0.93,1075.7,1438276,1438276,0,16.53,42,Tesla T4,1311
VGG16 (Transfer),Transfer Learning,VGG16_C,VGG16 (ImageNet Pretrained),224x224x3,16,Adam,1e-05,20,18,14,0.9706,0.9611,0.9602,0.9604,0.9601,0.9951,412.45,2.45,408.2,14978116,7344452,7633664,57.14,42,Tesla T4,1311
ResNet50 (Transfer),Transfer Learning,ResNet50_C,ResNet50 (ImageNet Pretrained),224x224x3,16,Adam,1e-05,20,19,15,0.9761,0.9687,0.9682,0.9679,0.968,0.9972,489.12,3.82,261.8,24113284,4983556,19129728,92.42,42,Tesla T4,1311
DenseNet121 (Transfer),Transfer Learning,DenseNet121_C,DenseNet121 (ImageNet Pretrained),224x224x3,16,Adam,1e-05,20,17,13,0.9789,0.9725,0.9721,0.9719,0.972,0.9984,456.8,2.88,347.2,7300932,427268,6873664,29.54,42,Tesla T4,1311
