model,experiment_id,description,dropout,global_average_pooling,image_size,batch_size,optimizer,learning_rate,max_epochs,actual_epochs,best_epoch,train_loss_at_best_epoch,best_val_loss,train_accuracy_at_best_epoch,best_val_accuracy,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,accuracy_generalization_gap,training_time_seconds,total_parameters,trainable_parameters,seed,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1
Custom CNN,CNN_A,Baseline: Flatten + Dense256 + Dropout 0.30,0.3,False,224x224,16,Adam,0.001,20,20,16,0.11247526854276657,0.12576526403427124,0.960716724395752,0.966023862361908,0.9660238751147842,0.9655592365419832,0.9655960352589567,0.9654849704793058,-0.005307137966156006,331.9568198119996,1438276,1438276,42,,,,
Custom CNN,CNN_B,Controlled dropout experiment: Dropout 0.50,0.5,False,224x224,16,Adam,0.001,20,20,17,0.13909989595413208,0.16908152401447296,0.9533655047416687,0.9439852833747864,0.9439853076216712,0.9445784287433445,0.9432420530208452,0.94338428189583,0.009380221366882324,287.4767158880004,1438276,1438276,42,,,,
Custom CNN,CNN_C,Controlled structural experiment: GlobalAveragePooling2D instead of Flatten,0.3,True,224x224,16,Adam,0.001,20,20,18,0.23178532719612122,0.21072080731391907,0.9145417213439941,0.9265381097793579,0.9265381083562901,0.9251959327578455,0.9255052278401997,0.9249038285575257,-0.01199638843536377,294.739003828,455236,455236,42,,,,
